Age,BusinessTravel,DailyRate,EducationField,EmployeeCount,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Attrition,Department,DistanceFromHome,Education,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,JobRole
41,Travel_Rarely,1102,Life Sciences,1,Single,5993,19479,8,Y,Yes,11,3,1,80,0,8,0,1,6,4,0,5,Yes,Sales,1.0,2.0,1.0,2.0,,94.0,,2.0,4.0,Sales Executive
49,Travel_Frequently,279,Life Sciences,1,Married,5130,24907,1,Y,No,23,4,4,80,1,10,3,3,10,7,1,7,No,Research & Development,8.0,1.0,2.0,3.0,Male,6.0,,2.0,2.0,Research Scientist
37,Travel_Rarely,1373,Other,1,Single,2090,2396,6,Y,Yes,15,3,2,80,0,7,3,3,0,0,0,0,Yes,Research & Development,2.0,2.0,,4.0,Ma,9.0,2.0,1.0,3.0,Laboratory Technician
33,Travel_Frequently,1392,Life Sciences,1,Married,2909,23159,1,Y,Yes,11,3,3,80,0,8,3,3,8,7,3,0,No,Research & Development,3.0,4.0,5.0,4.0,Female,56.0,3.0,1.0,3.0,Research Scientist
27,Travel_Rarely,591,Medical,1,Married,3468,16632,9,Y,No,12,3,4,80,1,6,3,3,2,2,2,2,No,Research & Development,2.0,1.0,7.0,1.0,Male,40.0,3.0,1.0,2.0,Laboratory Technician
32,Travel_Frequently,1005,Life Sciences,1,Single,3068,11864,0,Y,No,13,3,3,80,0,8,2,2,7,7,3,6,No,rEsEaRCh & DeVElOpmENT,2.0,2.0,8.0,4.0,Ma,79.0,3.0,1.0,4.0,Laboratory Technician
59,Travel_Rarely,1324,Medical,1,Married,2670,9964,4,Y,Yes,20,4,1,80,3,12,3,2,1,0,0,0,No,,3.0,3.0,10.0,,Fem,81.0,4.0,1.0,1.0,Laboratory Technician
30,Travel_Rarely,1358,Life Sciences,1,Divorced,2693,13335,1,Y,No,22,4,2,80,1,1,2,3,1,0,0,0,No,Research & Development,24.0,1.0,11.0,4.0,Male,67.0,3.0,1.0,3.0,Laboratory Technician
38,Travel_Frequently,216,Life Sciences,1,Single,9526,8787,0,Y,No,21,4,2,80,0,10,2,3,9,7,1,8,No,Research & Development,23.0,3.0,1.0,4.0,Ma,44.0,2.0,3.0,3.0,Manufacturing Director
36,Travel_Rarely,1299,Medical,1,Married,5237,16577,6,Y,No,13,3,2,80,2,17,3,2,7,7,7,7,No,Research & Development,27.0,3.0,13.0,3.0,Male,94.0,3.0,2.0,3.0,Healthcare Representative
35,Travel_Rarely,809,Medical,1,Married,2426,16479,0,Y,No,13,3,3,80,1,6,5,3,5,4,0,3,No,Research & Development,16.0,3.0,14.0,1.0,Male,84.0,4.0,1.0,2.0,Laboratory Technician
29,Travel_Rarely,153,Life Sciences,1,Single,4193,12682,0,Y,Yes,12,3,4,80,0,10,3,3,9,5,0,8,No,Research & Development,15.0,2.0,15.0,4.0,Female,49.0,,,3.0,Laboratory Technician
31,Travel_Rarely,670,Life Sciences,1,Divorced,2911,15170,1,Y,No,17,3,4,80,1,5,1,2,5,2,4,3,No,Research & Development,26.0,,16.0,1.0,Male,31.0,,,3.0,Research Scientist
34,Travel_Rarely,1346,Medical,1,Divorced,2661,8758,0,Y,No,11,3,3,80,1,3,2,3,2,2,1,2,No,Research & Development,19.0,2.0,,2.0,Male,93.0,3.0,1.0,4.0,Laboratory Technician
28,Travel_Rarely,103,Life Sciences,1,Single,2028,12947,5,Y,Yes,14,3,2,80,0,6,4,3,4,2,0,3,Yes,,24.0,3.0,19.0,,Male,50.0,2.0,1.0,3.0,Laboratory Technician
29,Travel_Rarely,1389,Life Sciences,1,Divorced,9980,10195,1,Y,No,11,3,3,80,1,10,1,3,10,9,8,8,No,Research & Development,21.0,4.0,,2.0,Female,51.0,4.0,,,Manufacturing Director
32,Travel_Rarely,334,Life Sciences,1,Divorced,3298,15053,0,Y,Yes,12,3,4,80,2,7,5,2,6,2,0,5,No,Research & Development,5.0,2.0,21.0,,Male,80.0,4.0,1.0,2.0,Research Scientist
22,Non-Travel,1123,Medical,1,Divorced,2935,7324,1,Y,Yes,13,3,2,80,2,1,2,2,1,0,0,0,No,Research & Development,16.0,2.0,22.0,4.0,,96.0,4.0,1.0,4.0,Laboratory Technician
53,Travel_Rarely,1219,Life Sciences,1,Married,15427,22021,2,Y,No,16,3,3,80,0,31,3,3,25,8,3,7,No,Sales,2.0,4.0,23.0,1.0,Female,78.0,2.0,4.0,4.0,Manager
38,Travel_Rarely,371,Life Sciences,1,Single,3944,4306,5,Y,Yes,11,3,3,80,0,6,3,3,3,2,1,2,No,Research & Development,2.0,3.0,2.0,4.0,Male,45.0,3.0,1.0,,Research Scientist
24,Non-Travel,673,Other,1,Divorced,4011,8232,0,Y,No,18,3,4,80,1,5,5,2,4,2,1,3,No,Research & Development,11.0,2.0,26.0,1.0,Female,96.0,4.0,2.0,3.0,Manufacturing Director
